timestamp,vehicle_id,selected_action_type,selected_bs_id,selected_relay_id,accepted,opt_rate_used,truth_rate_mcs_effective,method,objective
0.0,we_0,direct,BS_2,-1,1,1291.5719843179863,550.0,optimal_shannon,throughput
1.0,sn_0,direct,BS_3,-1,1,1305.5223612714306,550.0,optimal_shannon,throughput
1.0,ns_0,direct,BS_2,-1,1,2210.4600213114977,550.0,optimal_shannon,throughput
1.0,we_1,direct,BS_2,-1,1,1301.2043697811412,550.0,optimal_shannon,throughput
1.0,we_0,direct,BS_2,-1,1,1303.197287014338,550.0,optimal_shannon,throughput
1.0,ew_0,direct,BS_1,-1,1,1965.8921622754865,550.0,optimal_shannon,throughput
2.0,ew_1,direct,BS_3,-1,1,1945.4425032492832,550.0,optimal_shannon,throughput
2.0,sn_0,direct,BS_3,-1,1,1305.1902075349055,550.0,optimal_shannon,throughput
2.0,sn_2,relay,BS_3,se_0,1,1315.4870142356851,550.0,optimal_shannon,throughput
2.0,se_0,direct,BS_3,-1,1,1315.4870142356851,550.0,optimal_shannon,throughput
2.0,sn_1,relay,BS_3,se_0,1,1315.4870142356851,550.0,optimal_shannon,throughput
2.0,ns_0,direct,BS_2,-1,1,2232.780838636838,550.0,optimal_shannon,throughput
2.0,wn_0,direct,BS_2,-1,1,1311.8332991045552,550.0,optimal_shannon,throughput
2.0,we_1,relay,BS_2,wn_0,1,1311.8332991045552,550.0,optimal_shannon,throughput
2.0,ns_1,direct,BS_2,-1,1,2199.57855732657,550.0,optimal_shannon,throughput
2.0,we_0,direct,BS_2,-1,1,1320.4693693544064,550.0,optimal_shannon,throughput
2.0,we_2,relay,BS_2,wn_0,1,1311.8332991045552,550.0,optimal_shannon,throughput
2.0,ew_0,direct,BS_1,-1,1,1916.4278986506872,550.0,optimal_shannon,throughput
3.0,ew_1,direct,BS_1,-1,1,1929.38047855603,550.0,optimal_shannon,throughput
3.0,se_1,relay,BS_3,sn_3,1,1300.5400647751535,550.0,optimal_shannon,throughput
3.0,ew_2,direct,BS_1,-1,1,1956.3623337885729,550.0,optimal_shannon,throughput
3.0,sn_0,direct,BS_3,-1,1,1329.7698138714743,550.0,optimal_shannon,throughput
3.0,sn_2,direct,BS_3,-1,1,1321.798000490766,550.0,optimal_shannon,throughput
3.0,se_0,relay,BS_3,sn_2,1,1321.798000490766,550.0,optimal_shannon,throughput
3.0,sn_1,direct,BS_3,-1,1,1327.112537762271,550.0,optimal_shannon,throughput
3.0,ns_0,direct,BS_2,-1,1,2243.947820644298,550.0,optimal_shannon,throughput
3.0,wn_0,relay,BS_2,we_2,1,1317.479954055128,550.0,optimal_shannon,throughput
3.0,we_1,relay,BS_2,wn_0,1,1309.1760582583972,550.0,optimal_shannon,throughput
3.0,wn_1,relay,BS_2,we_3,1,1311.5011436956645,550.0,optimal_shannon,throughput
3.0,we_3,direct,BS_2,-1,1,1311.5011436956645,550.0,optimal_shannon,throughput
3.0,ns_1,direct,BS_2,-1,1,2222.2303090261676,550.0,optimal_shannon,throughput
3.0,sn_3,direct,BS_3,-1,1,1300.5400647751535,550.0,optimal_shannon,throughput
3.0,we_0,direct,BS_2,-1,1,1318.4764250839958,550.0,optimal_shannon,throughput
3.0,ns_2,direct,BS_2,-1,1,2210.128485884932,550.0,optimal_shannon,throughput
3.0,we_2,direct,BS_2,-1,1,1317.479954055128,550.0,optimal_shannon,throughput
3.0,ew_0,direct,BS_1,-1,1,1897.1097732440185,550.0,optimal_shannon,throughput
4.0,se_1,direct,BS_3,-1,1,1317.8121109822955,550.0,optimal_shannon,throughput
4.0,ew_4,direct,BS_1,-1,1,1957.9662167972945,550.0,optimal_shannon,throughput
4.0,sn_4,relay,BS_3,se_1,1,1317.8121109822955,550.0,optimal_shannon,throughput
4.0,ns_2,direct,BS_2,-1,1,2248.73795049571,550.0,optimal_shannon,throughput
4.0,ew_1,direct,BS_1,-1,1,1868.3066728615263,550.0,optimal_shannon,throughput
